[
  "number",
  "state",
  "severity",
  "rule",
  "file",
  "line"
]
"19","open","note","DS162092","API/DeMasterProCloud.DataAccess/Models/AppDbContext.cs",20
"18","open","error","DS126858","API/DeMasterProCloud.Service/RabbitMqQueue/DeviceInstructionQueue.cs",449
"17","open","note","DS162092","API/DeMasterProCloud.Common/Infrastructure/Helpers.cs",59
"16","open","note","DS162092","API/DeMasterProCloud.Common/Infrastructure/Helpers.cs",60
"15","open","note","DS162092","API/DeMasterProCloud.Common/Infrastructure/Helpers.cs",61
"14","open","error","DS148264","API/DeMasterProCloud.Common/Infrastructure/Helpers.cs",629
"13","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",10
"12","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",14
"11","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",14
"10","open","error","DS168931","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",14
"9","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",17
"8","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",20
"7","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",35
"6","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",40
"5","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",45
"4","open","error","DS126858","API/DeMasterProCloud.Common/Infrastructure/CryptographyHelper.cs",55
"3","open","note","DS176209","API/DeMasterProCloud.Common/Infrastructure/AppEnum.cs",734
"2","open","note","DS176209","API/DeMasterProCloud.Common/Infrastructure/Constants.cs",732
"1","open","medium","actions/missing-workflow-permissions",".github/workflows/dotnet-desktop.yml",51
